,Напряжение бортовой сети,Количество топлива,Напряжение аккумуляторной батареи,Оценка риска,Источник риска
0,12.7,47.0,12.2,0.0,Отсутствует
10,12.199969,46.984876,12.2,0.0,Отсутствует
20,12.19993,46.973292,12.2,0.1265315205511881,Неустойчивое напряжение бортовой сети
30,12.199893,46.961707,12.2,0.17312839904609484,Неустойчивое напряжение бортовой сети
40,12.199859,46.950123,12.2,0.1903185070716749,Неустойчивое напряжение бортовой сети
50,12.199827,46.938538,12.2,0.19668982819281813,Неустойчивое напряжение бортовой сети
60,12.199791,46.926954,12.2,0.19908077216701536,Неустойчивое напряжение бортовой сети
70,12.199751,46.91537,12.2,0.19915566780491098,Неустойчивое напряжение бортовой сети
80,12.199709,46.903785,12.2,0.19923158557293053,Неустойчивое напряжение бортовой сети
90,12.199667,46.892201,12.2,0.1993082411033884,Неустойчивое напряжение бортовой сети
100,12.199628,46.877422,12.2,0.1993852130281545,Неустойчивое напряжение бортовой сети
110,12.199593,46.848964,12.2,0.19947283327685236,Неустойчивое напряжение бортовой сети
120,12.199559,46.816603,12.2,0.19961152699001897,Неустойчивое напряжение бортовой сети
130,12.525715,46.773436,12.2,0.1997823705117324,Неустойчивое напряжение бортовой сети
140,12.498052,46.724227,12.2,0.19999604577162478,Неустойчивое напряжение бортовой сети
150,12.507104,46.682329,12.2,0.20024652403890894,Неустойчивое напряжение бортовой сети
160,12.496181,46.643339,12.2,0.20048497527255466,Неустойчивое напряжение бортовой сети
170,12.527588,46.604194,12.2,0.20070839732041867,Неустойчивое напряжение бортовой сети
180,12.524087,46.560332,12.2,0.20092675313493896,Неустойчивое напряжение бортовой сети
190,12.488892,46.515824,12.2,0.20115953643719092,Неустойчивое напряжение бортовой сети
200,12.454361,46.46529,12.2,0.20139974944301936,Неустойчивое напряжение бортовой сети
210,12.508993,46.412111,12.2,0.14700856109958368,Неустойчивое напряжение бортовой сети
220,12.20065,46.369889,12.2,0.12721196373775495,Неустойчивое напряжение бортовой сети
230,12.199496,46.353459,12.2,0.1744839544221669,Неустойчивое напряжение бортовой сети
240,12.199463,46.341874,12.2,0.19216334338801874,Неустойчивое напряжение бортовой сети
250,12.199428,46.33029,12.2,0.19871331646539958,Неустойчивое напряжение бортовой сети
260,12.199393,46.318705,12.2,0.20153757732049526,Неустойчивое напряжение бортовой сети
270,12.199355,46.307121,12.2,0.20262270709635805,Неустойчивое напряжение бортовой сети
280,12.555873,46.283618,12.2,0.20270252185245907,Неустойчивое напряжение бортовой сети
290,12.595987,46.235077,12.2,0.20281218580960292,Неустойчивое напряжение бортовой сети
300,12.614268,46.176788,12.2,0.20302210819133687,Неустойчивое напряжение бортовой сети
310,12.584502,46.125066,12.2,0.20330306029214426,Неустойчивое напряжение бортовой сети
320,12.199304,46.093721,12.2,0.203587162588401,Неустойчивое напряжение бортовой сети
330,12.199266,46.071198,12.2,0.20381144190755915,Неустойчивое напряжение бортовой сети
340,12.199227,46.045373,12.2,0.20397991076490243,Неустойчивое напряжение бортовой сети
350,12.575502,46.006743,12.2,0.20413902533049488,Неустойчивое напряжение бортовой сети
360,12.535623,45.962546,12.2,0.2043315933639499,Неустойчивое напряжение бортовой сети
370,12.526225,45.92135,12.2,0.20455612374332738,Неустойчивое напряжение бортовой сети
380,12.199198,45.890188,12.2,0.20478231317068446,Неустойчивое напряжение бортовой сети
390,12.199155,45.863379,12.2,0.20498003384472324,Неустойчивое напряжение бортовой сети
400,12.199111,45.836964,12.2,0.20515477846309946,Неустойчивое напряжение бортовой сети
410,12.199068,45.808557,12.2,0.20531967343318203,Неустойчивое напряжение бортовой сети
420,12.199028,45.779258,12.2,0.20548759902219169,Неустойчивое напряжение бортовой сети
430,12.19899,45.756616,12.2,0.20565930127463228,Неустойчивое напряжение бортовой сети
440,12.198951,45.744986,12.2,0.20580878087519683,Неустойчивое напряжение бортовой сети
450,12.198908,45.733402,12.2,0.20591173157421105,Неустойчивое напряжение бортовой сети
460,12.198866,45.721817,12.2,0.205998244089728,Неустойчивое напряжение бортовой сети
470,12.198826,45.710233,12.2,0.20607838875181925,Неустойчивое напряжение бортовой сети
480,12.198788,45.698649,12.2,0.20615585353548788,Неустойчивое напряжение бортовой сети
490,12.198753,45.683295,12.2,0.20623212811653252,Неустойчивое напряжение бортовой сети
500,12.544283,45.643433,12.2,0.20632078124580613,Неустойчивое напряжение бортовой сети
510,12.463814,45.59242,12.2,0.2064931587902047,Неустойчивое напряжение бортовой сети
520,12.445843,45.542848,12.2,0.2067355849776297,Неустойчивое напряжение бортовой сети
530,12.465954,45.503615,12.2,0.20699886370431614,Неустойчивое напряжение бортовой сети
540,12.505654,45.46891,12.2,0.20723351380570088,Неустойчивое напряжение бортовой сети
550,12.198717,45.439941,12.2,0.2074416857207165,Неустойчивое напряжение бортовой сети
560,12.19868,45.420268,12.2,0.20762656459822978,Неустойчивое напряжение бортовой сети
570,12.198641,45.407947,12.2,0.2077701389859469,Неустойчивое напряжение бортовой сети
580,12.198599,45.396363,12.2,0.2078730152935546,Неустойчивое напряжение бортовой сети
590,12.198556,45.384778,12.2,0.20795918210869682,Неустойчивое напряжение бортовой сети
600,12.198516,45.373194,12.2,0.20803952879529186,Неустойчивое напряжение бортовой сети
610,12.278998,45.352713,12.2,0.20811718849893907,Неустойчивое напряжение бортовой сети
620,12.372359,45.310958,12.2,0.20821752320316378,Неустойчивое напряжение бортовой сети
630,12.336843,45.26117,12.2,0.20840145388384232,Неустойчивое напряжение бортовой сети
640,12.302666,45.213367,12.2,0.20864461839642945,Неустойчивое напряжение бортовой сети
650,12.301251,45.17504,12.2,0.20890278234035717,Неустойчивое напряжение бортовой сети
660,12.36324,45.140847,12.2,0.20913298938647185,Неустойчивое напряжение бортовой сети
670,12.399936,45.105107,12.2,0.20933823039126392,Неустойчивое напряжение бортовой сети
680,12.406941,45.063369,12.2,0.2095393145853348,Неустойчивое напряжение бортовой сети
690,12.377817,45.019024,12.2,0.19343892207729266,Неустойчивое напряжение бортовой сети
700,12.33934,44.974347,12.2,0.18306753344983506,Неустойчивое напряжение бортовой сети
710,12.275318,44.93066,12.2,0.17941687274446497,Неустойчивое напряжение бортовой сети
720,12.300334,44.887421,12.2,0.18359915723350845,Неустойчивое напряжение бортовой сети
730,12.339824,44.842407,12.2,0.18529558820906444,Неустойчивое напряжение бортовой сети
740,12.357478,44.793315,12.2,0.18619403886821034,Неустойчивое напряжение бортовой сети
750,12.337065,44.74247,12.2,0.1867349995646731,Неустойчивое напряжение бортовой сети
760,12.329681,44.692896,12.2,0.18712012434948128,Неустойчивое напряжение бортовой сети
770,12.307183,44.647179,12.2,0.18740725562437976,Неустойчивое напряжение бортовой сети
780,12.322582,44.603132,12.2,0.18768051161712435,Неустойчивое напряжение бортовой сети
790,12.198444,44.569092,12.2,0.18794261427639825,Неустойчивое напряжение бортовой сети
800,12.198393,44.555442,12.2,0.20368456819739292,Неустойчивое напряжение бортовой сети
810,12.198342,44.543857,12.2,0.20953352049666257,Неустойчивое напряжение бортовой сети
820,12.19829,44.531841,12.2,0.21173569332431263,Неустойчивое напряжение бортовой сети
830,12.296891,44.502371,12.2,0.21259812255259225,Неустойчивое напряжение бортовой сети
840,12.303529,44.464621,12.2,0.21302007214622654,Неустойчивое напряжение бортовой сети
850,12.339201,44.41986,12.2,0.21320545621248238,Неустойчивое напряжение бортовой сети
860,12.41404,44.365372,12.2,0.21343416394044423,Неустойчивое напряжение бортовой сети
870,12.415107,44.306777,12.2,0.21371411039752683,Неустойчивое напряжение бортовой сети
880,12.382261,44.248806,12.2,0.21402803527572367,Неустойчивое напряжение бортовой сети
890,12.345703,44.194843,12.2,0.2143521528176267,Неустойчивое напряжение бортовой сети
900,12.339045,44.142633,12.2,0.21466569843599562,Неустойчивое напряжение бортовой сети
910,12.33046,44.099365,12.2,0.19503720457630458,Неустойчивое напряжение бортовой сети
